stock_ticker,sic
MMM,9997
MNKD,2836
MNST,2086
MNST,2086
MO,2111
MO,2111
MOGN,2834
MOH,6324
MOLX,3678
MOLXA,3678
MON,9995
MONCU,9995
MOS,2870
MOS,2870
MOS.P.,2870
MP,1090
MPC,2911
MPF.,6211
MPWR,3674
MRK,2834
MRK,2834
MRK.WI,2834
MRNA,2836
MRO,1311
MRO,1311
MRVC,3661
MRVL,3674
MS,6211
MS,6211
MS.PP,6211
MSCC,3674
MSCI,6282
MSFT,7372
MSFT,7372
MSI,3663
MSTR,7372
MSTR,7372
MTB,6020
MTB,6020
MTB.PH,6020
MTCH,7370
MTD,3826
MTG,6351
MTG,6351
MTLQQ,3711
MTLQQ,3711
MTW,3530
MU,3674
MU,3674
MUR,1311
MUR,1311
MUSE,7372
MVK,3317
MVL,6794
MXIM,3674
MXIM,3674
MXO,3572
MYG,6722
MYGN,2835
N,7373
NAV,3711
NAV,3711
NBIX,2836
NBL,1311
NBL,1311
NBR,1381
NCC,6020
NCEN,4991
NDAQ,6200
NDAQ,6200
NEBLQ.1,1381
NEE,4911
NEE.PO,4911
NEE.PP,4911
NEE.PQ,4911
NEE.PQ.1,4911
NEE.PR,4911
NEM,1040
NEM,1040
NEMUF,1040
NEMUF,1040
NEON,3663
NET,7370
NETL,6722
NFB,6020
NFLX,7841
NFLX,7841
NFX,1311
NFX,1311
NGT.,1040
NI,4932
NI,4932
NI.PB.,4932
NIHD,4812
NIHDQ,4812
NIHDQ,4812
NIMC,4932
NKE,3021
NKE,3021
NKLA,3711
NKTR,2834
NLC,2890
NNS,3730
NOC,3812
NOC,3812
NOC.PE,3812
NOV,3533
NOV,3533
NOVL,7370
NOW,7372
NRG,4911
NRG,4911
NSC,4011
NSC,4011
NSCN,3576
NSE.2,4932
NSM,6162
NTAP,3572
NTAP,3572
NTIQ,7372
NTLA,2836
NTNX,7370
NTRI,5961
NTRO,1311
NTRS,6020
NTRS,6020
NTY,2834
NU,6020
NUAG.,1040
NUAN,7372
NUBIU,3690
NUE,3312
NUE,3312
NUS,2844
NVAX,2836
NVDA,3674
NVDA,3674
NVE,4911
NVLS,2836
NVR,1531
NVR,1531
NWL,3630
NWL,3630
NWS,2711
NWSA,2711
